rsi,rs,price,price_change,price_change_ratio,price_change_ratio_1m,id,title,source,publish_date
60.3,67.0,28850,0,0.0,0.025,11706385,"Hòa Phát ""độc quyền"" sản xuất một loại thép, mở ra cơ hội thay thế hàng nhập khẩu của Việt Nam",TCBS,2025-09-10 07:02:00
60.2,84.0,28900,100,0.003,0.032,11704380,"Hòa Phát sản xuất 31.800 tấn/ngày trong tháng 8, tăng 34% so với cùng kỳ",TCBS,2025-09-08 10:03:00
68.9,86.0,28800,-1050,-0.035,0.091,11703630,"Bắt tay Hà Lan, Hòa Phát mang về ""quái vật 2500m3"": Vừa giúp ""cú đấm thép 85000 tỷ"" lập cột mốc đầu tiên",TCBS,2025-09-05 21:05:00
60.3,80.0,29850,1700,0.06,0.18,11700970,Lộ diện 'chủ nợ' lớn nhất của Hoà Phát với khoản cho vay dài hạn gần 30.000 tỷ đồng,TCBS,2025-09-04 09:57:00
56.0,70.0,28150,650,0.024,0.113,11700093,Hoà Phát nhận tin vui từ chính quyền cho dự án 85.000 tỷ đồng,TCBS,2025-09-03 15:35:00
56.0,70.0,28150,650,0.024,0.113,11700032,HPG: Giải trình biến động LNST trên BCTC bán niên 2025 soát xét so với cùng kỳ năm trước,TCBS,2025-09-03 14:34:03
50.4,69.0,27100,350,0.013,0.028,11687663,HPG: Báo cáo kết quả giao dịch cổ phiếu của người có liên quan đến người nội bộ Chu Quang Việt,TCBS,2025-08-28 14:28:32
56.6,55.0,26000,-1400,-0.051,-0.017,11682597,Hòa Phát chính thức không bị Ấn Độ áp thuế chống bán phá giá đối với thép cuộn cán nóng (HRC),TCBS,2025-08-22 15:59:00
68.6,70.0,28150,-250,-0.009,0.074,11678334,"Hòa Phát khởi công dự án khu nhà ở công nhân, nhà ở xã hội gần 5.000 tỷ đồng",TCBS,2025-08-19 19:46:00
68.6,70.0,28150,-250,-0.009,0.074,11678335,Chưa từng có: Hòa Phát bàn giao 1.000 container cho hãng tàu Top 3 thế giới,TCBS,2025-08-19 19:43:00
66.1,59.0,28400,400,0.014,0.097,11676487,"Không chỉ là vua thép, tỷ phú Trần Đình Long còn chiếm ngôi ""vua bò Úc"": Sản lượng 6T2025 tăng 115%, mục tiêu 150.000 con",TCBS,2025-08-18 15:15:00
73.0,60.0,28100,-400,-0.014,0.091,11671831,HPG: Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 38,TCBS,2025-08-13 14:49:44
71.3,70.0,28500,350,0.012,0.107,11669738,"Hòa Phát (HPG) khai lò thổi số 2, Dung Quất 2 đã sẵn sàng",TCBS,2025-08-12 09:09:00
70.0,76.0,28500,1400,0.052,0.208,11665028,"Hòa Phát chính thức được chấp thuận tăng 3.400 tỷ đầu tư cho Hòa Phát Dung Quất 2, nâng công suất năm thêm 500.000 tấn",TCBS,2025-08-07 07:27:00
55.0,50.0,26400,1100,0.043,0.119,11663673,"Tận dụng khí than dư thừa phát điện, Hòa Phát tự chủ 90% điện cho sản xuất",TCBS,2025-08-05 17:57:00
